用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id
102997331454,2006.,2025.10.10,天津,学委同意了吗,0,7559561362259643705
93442756685,长长99,2025.10.10,河北,我能说吗？,0,7559561362259643705
101653095699,脆脆烤蛋挞,2025.10.10,天津,心理委员，我女朋友要跟我分手，我心里难过[抱紧自己][抱紧自己]你可以安慰一下我吗,0,7559561362259643705
395424611177388,高冷土豆条,2025.10.10,浙江,班长知道嘛,0,7559561362259643705
100690987751,程程程程程hh,2025.10.10,天津,我要嘎了怎么办，心理委员,0,7559561362259643705
1121143904541323,晴天.,2025.10.10,天津,心理委员算个🥚,0,7559561362259643705
59119191832,Kris,2025.10.11,四川,👖：Aewsnow,0,7559939933021211914
95581946574,星河丷,2025.10.11,江苏,爸爸[舔屏],0,7559939933021211914
33453439724652,他们都叫我不俊,2025.10.11,浙江,依旧死脸[图片表情],0,7559939933021211914
2823169815610004,Lllllllllllll,2025.10.11,四川,[图片表情],0,7559939933021211914
4223697579157408,芙！,2025.10.11,广东,[图片表情],1,7559617263180107054
98751909382,安梦渊,2025.10.11,黑龙江,好看！,1,7559617263180107054
1256071903583584,缪海,2025.10.11,黑龙江,@DOU+上热门 @抖音能量站 @抖音 @DOU+小助手 @抖音创作小助手 @抖音创作者大会 @抖音图文 @抖音创作灵感,0,7559617263180107054
84853416791,二乃（好像停不了谷版）,2025.10.11,重庆,这肩，我舔舔舔舔舔舔舔舔舔舔舔舔舔舔舔[图片表情],1,7559617263180107054
632939358717599,咿呀哟,2025.10.10,中国香港,和姑姑的那张好酷@ [调皮],0,7559549633102826811
64119422193,咕噜咕噜。,2025.10.10,甘肃,这么美的照片先给我看,0,7559549633102826811
3987306558525883,龙子轩,2025.10.10,甘肃,[赞][赞],0,7559549633102826811
1959798249883292,小🐑♡,2025.10.11,新疆,真美,0,7559549633102826811
105974158336477,开心668,2025.10.10,河北,[赞][赞][赞],0,7559296559873461563
773656552942999,Lit,2025.10.10,山西,用上自己喜欢的标签啦,0,7559296559873461563
78817489064237,永远不高尚,2025.10.10,河北,[赞][赞][赞],0,7559296559873461563
104164795526,桃壹,2025.10.10,江苏,[玫瑰][玫瑰][玫瑰],0,7559544919572942130
106874150846,搞笑,2025.10.11,陕西,你穿不好看[疑问][疑问][疑问],0,7559592335866350886
4490848935878431,予墨与廷,2025.10.11,江苏,嗯，确实没什么违和感。不愧是动漫最牛逼的国家。确实他们更懂怎么处理,0,7558926799431716135
86125725888,我不喝加糖咖啡,2025.10.11,江西,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][爱心][爱心][爱心][爱心][爱心][比心][比心][比心][比心][比心][比心][求机位3][求机位3][求机位3][求机位3][求机位3][赞][赞][赞][赞][赞][赞],0,7558926799431716135
111188639241,德华猴子大王0301,2025.10.09,北京,眼睛这么大，这得有2.3米了？[戳手手],0,7559062419226545462
52522158167,哎呦喂,2025.10.10,北京,像苍蝇,0,7559062419226545462
